ID,HSK,FREQ,GENERAL_STANDARD,RADICAL,STROKE_COUNT,CHINESE_CHARACTER,PINYIN,TONE,MEANING
1,1,1,1155,白 106.3,8,的,de,0,"possessive, adjectival suffix"
2,1,2,1,一 1.0,1,一,yī,1,"one; a, an; alone"
3,1,3,1479,日 72.5,9,是,shì,4,"indeed, yes, right; to be; demonstrative pronoun, this, that"
4,1,4,91,一 1.3,4,不,bù,4,"no, not; un-; negative prefix"
5,1,5,17,亅 6.1,2,了,le,0,to finish; particle of completed action
6,1,6,388,土 32.3,6,在,zài,4,"be at, in, on; consist in, rest"
7,1,7,10,人 9.0,2,人,rén,2,man; people; mankind; someone else
8,1,8,390,月 74.2,6,有,yǒu,3,"have, own, possess; exist"
9,1,9,761,戈 62.3,7,我,wǒ,3,"our, us, i, me, my, we"
10,1,10,277,人 9.3,5,他,tā,1,"other, another; he, she, it"
11,1,11,837,辵 162.4,7,这,zhè,4,"this, the, here"
12,1,12,45,丨 2.2,3,个,gè,4,"numerary adjunct, piece; single"
13,1,13,273,人 9.3,5,们,men,0,adjunct pronoun indicate plural
14,1,14,113,丨 2.3,4,中,zhōng,1,"central; center, middle; in the midst of; hit (target); attain"
15,1,15,707,木 75.3,7,来,lái,2,"come, coming; return, returning"
16,1,16,36,一 1.2,3,上,shàng,4,"top; superior, highest; go up, send up"
17,1,17,32,大 37.0,3,大,dà,4,"big, great, vast, large, high"
18,1,19,1131,口 30.5,8,和,hé,2,"harmony, peace; peaceful, calm"
19,1,20,1081,囗 31.5,8,国,guó,2,"nation, country, nation-state"
20,1,21,366,土 32.3,6,地,de,0,"earth; soil, ground; region"
21,1,22,1063,刀 18.6,8,到,dào,4,"go to, arrive, been to"
22,1,24,1717,言 149.7,9,说,shuō,1,"speak, say, talk; scold, upbraid"
23,1,25,717,日 72.3,7,时,shí,2,"time, season; era, age, period"
24,1,26,1441,襾 146.3,9,要,yào,4,"necessary, essential; necessity"
25,1,27,2728,尢 43.9,12,就,jiù,4,"just, simply; to come, go to; to approach, near"
26,1,28,330,凵 17.3,5,出,chū,1,"go out, send out; stand; produce"
27,1,29,486,人 9.4,6,会,huì,4,"assemble, meet together; meeting"
28,1,31,66,乙 5.2,3,也,yě,3,also; classical final particle of strong affirmation or identity
29,1,32,782,人 9.5,7,你,nǐ,3,"you, second person pronoun"
30,1,33,341,寸 41.2,5,对,duì,4,"correct, right; facing, opposed"
31,1,34,263,生 100.0,5,生,shēng,1,"life, living, lifetime; birth"
32,1,35,2146,肉 130.6,10,能,néng,2,"to be able; can, permitted to; ability"
33,1,37,64,子 39.0,3,子,zi,0,"offspring, child; fruit, seed of; 1st terrestrial branch"
34,1,38,564,邑 163.4,6,那,nà,4,"that, that one, those"
35,1,39,2341,彳 60.8,11,得,dé,2,"obtain, get, gain, acquire"
36,1,41,2398,目 109.6,11,着,zhe,0,"make move, take action"
37,1,42,30,一 1.2,3,下,xià,4,"under, underneath, below; down; inferior; bring down"
38,1,45,444,干 51.3,6,年,nián,2,year
39,1,46,379,辵 162.3,6,过,guò,4,"pass, pass through, go across"
40,1,48,482,口 30.3,6,后,hòu,4,"queen, empress, sovereign; (simp. for後) behind, rear, after"
41,1,49,777,人 9.5,7,作,zuò,4,"make; work; compose, write; act, perform"
42,1,50,721,里 166.0,7,里,lǐ,3,unit of distance; village; lane
43,1,51,283,用 101.0,5,用,yòng,4,"use, employ, apply, operate; use"
44,1,52,2745,辵 162.9,12,道,dào,4,"path, road, street; method, way"
45,1,53,483,行 144.0,6,行,xíng,2,"go; walk; move, travel; circulate"
46,1,56,2099,宀 40.7,10,家,jiā,1,"house, home, residence; family"
47,1,58,1038,亅 6.7,8,事,shì,4,"affair, matter, business; to serve; accident, incident"
48,1,60,163,方 70.0,4,方,fāng,1,"a square, rectangle; a region; local"
49,1,61,507,夕 36.3,6,多,duō,1,"much, many; more than, over"
50,1,63,48,丿 4.2,3,么,me,0,interrogative particle; repetition of a tune small; tender
51,1,64,204,厶 28.3,5,去,qù,4,"go away, leave, depart"
52,1,66,1273,子 39.5,8,学,xué,2,"learning, knowledge; school"
53,1,68,1801,邑 163.9,10,都,dōu,1,"metropolis, capital; all, the whole; elegant, refined"
54,1,69,427,口 30.3,6,同,tóng,2,"same, similar; together with"
55,1,70,949,玉 96.4,8,现,xiàn,4,"appear, manifest, become visible"
56,1,72,867,水 85.4,7,没,méi,2,"not, have not, none; drown, sink"
57,1,73,353,力 19.4,6,动,dòng,4,"move, happen; movement, action"
58,1,74,1455,面 176.0,9,面,miàn,4,"face; surface; plane; side, dimension"
